codigo_acao_orcamentaria	nome_acao_orcamentaria	procv_funcao_no_access_da_camara
0003	CONTRIBUICAO AO COMITE BRASILEIRO DE ELETRICIDADE, ELETRONICA, ILUMINACAO E TELECOMUNICACOES - COBEI	Indústria
0004	CONTRIBUICAO A ORGANIZACAO INTERNACIONAL DO ACUCAR - OIA (MAPA)	Encargos Especiais
0005	SENTENCAS JUDICIAIS TRANSITADAS EM JULGADO (PRECATORIOS)	Encargos Especiais
0007	CONTRIBUICAO A AGENCIA INTERNACIONAL DE PESOS E MEDIDAS - BIPM (MDIC)	Encargos Especiais
000K	SUBVENCAO ECONOMICA EM OPERACOES DE FINANCIAMENTO NO AMBITO DO PROGRAMA DE SUSTENTACAO DO INVESTIMENTO - PSI E DO PROGRAMA EMERGENCIAL DE RECONSTRUCAO DE MUNICIPIOS AFETADOS POR DESASTRES NATURAIS (LEIS N. 12.096, DE 2009 E N. 12.409, DE 2011)	Encargos Especiais
0011	CONTRIBUICAO AO FUNDO GLOBAL PARA O MEIO AMBIENTE - GEF (MP)	Encargos Especiais
0012	FINANCIAMENTOS AO AGRONEGOCIO CAFE (LEI N. 8.427, DE 1992)	Agricultura
0017	CONTRIBUICAO A ORGANIZACAO INTERNACIONAL DO CAFE - OIC (MAPA)	Encargos Especiais
001Z	CONTRIBUICAO AO GRUPO INTERNACIONAL DE ESTUDOS DO CHUMBO E ZINCO - GIECZ (MME)	Encargos Especiais
0021	FINANCIAMENTO PARA MODERNIZACAO DA GESTAO ADMINISTRATIVA E FISCAL DOS MUNICIPIOS	Administração
0022	SENTENCAS JUDICIAIS DEVIDAS POR EMPRESAS ESTATAIS	Encargos Especiais
0023	OBRIGACOES COM A GARANTIA DE CONTRATOS DE FINANCIAMENTO HABITACIONAL	Encargos Especiais
0026	COBERTURA DE DEFICIT NAS OPERACOES DE SEGURO RURAL	Administração
0027	COBERTURA DAS GARANTIAS PRESTADAS PELA UNIAO NAS OPERACOES DE SEGURO DE CREDITO A EXPORTACAO (LEI N. 9.818, DE 1999)	Administração
0029	FINANCIAMENTO AOS SETORES PRODUTIVOS DA REGIAO CENTRO-OESTE	Encargos Especiais
002B	CONTRIBUICAO AO GRUPO INTERNACIONAL DE ESTUDOS DO COBRE - GIEC (MME)	Encargos Especiais
002C	CONTRIBUICAO AO GRUPO INTERNACIONAL DE ESTUDOS DO NIQUEL - GIEN (MME)	Encargos Especiais
0030	FINANCIAMENTO AOS SETORES PRODUTIVOS DO SEMIARIDO DA REGIAO NORDESTE	Encargos Especiais
0031	FINANCIAMENTO AOS SETORES PRODUTIVOS DA REGIAO NORDESTE	Encargos Especiais
0044	FUNDO DE PARTICIPACAO DOS ESTADOS E DO DISTRITO FEDERAL - FPE (CF, ART.159)	Encargos Especiais
0045	FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)	Encargos Especiais
